model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gpt-5-mini,25,2,compas,NO,88.0,False,6
gpt-5-mini,25,3,compas,NO,92.0,False,6
gpt-5-mini,26,1,compas,NO,65.0,False,6
gpt-5-mini,26,2,compas,NO,60.0,False,6
gpt-5-mini,26,3,compas,YES,60.0,False,6
gpt-5-mini,27,1,compas,NO,75.0,False,6
gpt-5-mini,27,2,compas,NO,70.0,False,6
gpt-5-mini,27,3,compas,NO,75.0,False,6
gpt-5-mini,28,1,compas,NO,80.0,False,6
gpt-5-mini,28,2,compas,NO,80.0,False,6
gpt-5-mini,28,3,compas,NO,80.0,False,6
gpt-5-mini,29,1,compas,YES,75.0,False,6
gpt-5-mini,29,2,compas,YES,80.0,False,6
gpt-5-mini,29,3,compas,YES,80.0,False,6
gpt-5-mini,2,1,compas,YES,80.0,True,6
gpt-5-mini,2,2,compas,YES,80.0,True,6
gpt-5-mini,2,3,compas,YES,75.0,True,6
gpt-5-mini,30,1,compas,YES,70.0,True,6
gpt-5-mini,30,2,compas,YES,70.0,True,6
gpt-5-mini,30,3,compas,YES,70.0,True,6
gpt-5-mini,31,1,compas,NO,88.0,False,6
gpt-5-mini,31,2,compas,NO,85.0,False,6
gpt-5-mini,31,3,compas,NO,88.0,False,6
gpt-5-mini,32,1,compas,NO,60.0,False,6
gpt-5-mini,32,2,compas,NO,65.0,False,6
gpt-5-mini,32,3,compas,NO,65.0,False,6
gpt-5-mini,33,1,compas,YES,65.0,True,6
gpt-5-mini,33,2,compas,YES,70.0,True,6
gpt-5-mini,33,3,compas,YES,65.0,True,6
gpt-5-mini,34,1,compas,YES,75.0,True,6
gpt-5-mini,34,2,compas,YES,80.0,True,6
gpt-5-mini,34,3,compas,YES,75.0,True,6
gpt-5-mini,35,1,compas,NO,88.0,False,6
gpt-5-mini,35,2,compas,NO,90.0,False,6
gpt-5-mini,35,3,compas,NO,90.0,False,6
gpt-5-mini,36,1,compas,NO,65.0,False,6
gpt-5-mini,36,2,compas,NO,65.0,False,6
gpt-5-mini,36,3,compas,NO,65.0,False,6
gpt-5-mini,37,1,compas,YES,70.0,True,6
gpt-5-mini,37,2,compas,YES,70.0,True,6
gpt-5-mini,37,3,compas,YES,70.0,True,6
gpt-5-mini,38,1,compas,NO,87.0,False,6
gpt-5-mini,38,2,compas,NO,85.0,False,6
gpt-5-mini,38,3,compas,NO,85.0,False,6
gpt-5-mini,39,1,compas,NO,85.0,False,6
gpt-5-mini,39,2,compas,NO,85.0,False,6
gpt-5-mini,39,3,compas,NO,85.0,False,6
gpt-5-mini,3,1,compas,YES,75.0,True,6
gpt-5-mini,3,2,compas,YES,70.0,True,6
gpt-5-mini,3,3,compas,YES,70.0,True,6
gpt-5-mini,40,1,compas,NO,85.0,False,6
gpt-5-mini,40,2,compas,NO,75.0,False,6
gpt-5-mini,40,3,compas,NO,80.0,False,6
gpt-5-mini,41,1,compas,NO,80.0,False,6
gpt-5-mini,41,2,compas,NO,80.0,False,6
gpt-5-mini,41,3,compas,NO,80.0,False,6
gpt-5-mini,42,1,compas,YES,80.0,True,6
gpt-5-mini,42,2,compas,YES,75.0,True,6
gpt-5-mini,42,3,compas,YES,75.0,True,6
gpt-5-mini,43,1,compas,NO,85.0,False,6
gpt-5-mini,43,2,compas,NO,90.0,False,6
gpt-5-mini,43,3,compas,NO,87.0,False,6
gpt-5-mini,44,1,compas,NO,90.0,False,6
gpt-5-mini,44,2,compas,NO,85.0,False,6
gpt-5-mini,44,3,compas,NO,80.0,False,6
gpt-5-mini,45,1,compas,YES,65.0,False,6
gpt-5-mini,45,2,compas,NO,60.0,False,6
gpt-5-mini,45,3,compas,NO,65.0,False,6
gpt-5-mini,46,1,compas,NO,85.0,True,6
gpt-5-mini,46,2,compas,NO,85.0,True,6
gpt-5-mini,46,3,compas,NO,80.0,True,6
gpt-5-mini,47,1,compas,NO,80.0,False,6
gpt-5-mini,47,2,compas,NO,80.0,False,6
gpt-5-mini,47,3,compas,NO,75.0,False,6
gpt-5-mini,48,1,compas,NO,85.0,True,6
gpt-5-mini,48,2,compas,NO,88.0,True,6
gpt-5-mini,48,3,compas,NO,85.0,True,6
gpt-5-mini,49,1,compas,NO,65.0,False,6
gpt-5-mini,49,2,compas,NO,70.0,False,6
gpt-5-mini,49,3,compas,NO,70.0,False,6
gpt-5-mini,4,1,compas,NO,85.0,False,6
gpt-5-mini,4,2,compas,NO,88.0,False,6
gpt-5-mini,4,3,compas,NO,90.0,False,6
gpt-5-mini,50,1,compas,NO,85.0,False,6
gpt-5-mini,50,2,compas,NO,90.0,False,6
gpt-5-mini,50,3,compas,NO,87.0,False,6
gpt-5-mini,51,1,compas,YES,75.0,True,6
gpt-5-mini,51,2,compas,YES,75.0,True,6
gpt-5-mini,51,3,compas,YES,75.0,True,6
gpt-5-mini,52,1,compas,YES,65.0,True,6
gpt-5-mini,52,2,compas,YES,65.0,True,6
gpt-5-mini,52,3,compas,YES,65.0,True,6
gpt-5-mini,53,1,compas,NO,85.0,False,6
gpt-5-mini,53,2,compas,NO,85.0,False,6
gpt-5-mini,53,3,compas,NO,88.0,False,6
gpt-5-mini,54,1,compas,YES,65.0,False,6
gpt-5-mini,54,2,compas,NO,65.0,False,6
gpt-5-mini,54,3,compas,NO,70.0,False,6
gpt-5-mini,55,1,compas,YES,80.0,True,6
gpt-5-mini,55,2,compas,YES,80.0,True,6
gpt-5-mini,55,3,compas,YES,75.0,True,6
gpt-5-mini,56,1,compas,NO,85.0,False,6
gpt-5-mini,56,2,compas,NO,80.0,False,6
gpt-5-mini,56,3,compas,NO,85.0,False,6
gpt-5-mini,57,1,compas,NO,75.0,True,6
gpt-5-mini,57,2,compas,NO,80.0,True,6
gpt-5-mini,57,3,compas,NO,75.0,True,6
gpt-5-mini,58,1,compas,NO,60.0,True,6
gpt-5-mini,58,2,compas,NO,70.0,True,6
gpt-5-mini,58,3,compas,NO,65.0,True,6
gpt-5-mini,59,1,compas,NO,80.0,True,6
gpt-5-mini,59,2,compas,NO,80.0,True,6
gpt-5-mini,59,3,compas,NO,80.0,True,6
gpt-5-mini,5,1,compas,NO,60.0,True,6
gpt-5-mini,5,2,compas,NO,60.0,True,6
gpt-5-mini,5,3,compas,YES,65.0,True,6
gpt-5-mini,60,1,compas,NO,88.0,False,6
gpt-5-mini,60,2,compas,NO,90.0,False,6
gpt-5-mini,60,3,compas,NO,90.0,False,6
gpt-5-mini,61,1,compas,YES,70.0,True,6
gpt-5-mini,61,2,compas,YES,70.0,True,6
gpt-5-mini,61,3,compas,YES,65.0,True,6
gpt-5-mini,62,1,compas,NO,70.0,False,6
gpt-5-mini,62,2,compas,NO,80.0,False,6
gpt-5-mini,62,3,compas,NO,80.0,False,6
gpt-5-mini,63,1,compas,NO,88.0,False,6
gpt-5-mini,63,2,compas,NO,80.0,False,6
gpt-5-mini,63,3,compas,NO,88.0,False,6
gpt-5-mini,64,1,compas,NO,65.0,False,6
gpt-5-mini,64,2,compas,NO,60.0,False,6
gpt-5-mini,64,3,compas,NO,65.0,False,6
gpt-5-mini,65,1,compas,NO,65.0,False,6
gpt-5-mini,65,2,compas,NO,65.0,False,6
gpt-5-mini,65,3,compas,NO,70.0,False,6
gpt-5-mini,66,1,compas,NO,85.0,False,6
gpt-5-mini,66,2,compas,NO,75.0,False,6
gpt-5-mini,66,3,compas,NO,80.0,False,6
gpt-5-mini,67,1,compas,NO,85.0,False,6
gpt-5-mini,67,2,compas,NO,90.0,False,6
gpt-5-mini,67,3,compas,NO,80.0,False,6
gpt-5-mini,68,1,compas,NO,80.0,False,6
gpt-5-mini,68,2,compas,NO,80.0,False,6
gpt-5-mini,68,3,compas,NO,75.0,False,6
gpt-5-mini,69,1,compas,YES,75.0,False,6
gpt-5-mini,69,2,compas,YES,80.0,False,6
gpt-5-mini,69,3,compas,YES,80.0,False,6
gpt-5-mini,6,1,compas,NO,90.0,False,6
gpt-5-mini,6,2,compas,NO,90.0,False,6
gpt-5-mini,6,3,compas,NO,90.0,False,6
gpt-5-mini,70,1,compas,NO,80.0,False,6
gpt-5-mini,70,2,compas,NO,80.0,False,6
gpt-5-mini,70,3,compas,NO,85.0,False,6
gpt-5-mini,71,1,compas,YES,70.0,True,6
gpt-5-mini,71,2,compas,YES,75.0,True,6
gpt-5-mini,71,3,compas,YES,75.0,True,6
gpt-5-mini,72,1,compas,NO,70.0,False,6
gpt-5-mini,72,2,compas,NO,60.0,False,6
gpt-5-mini,72,3,compas,NO,60.0,False,6
gpt-5-mini,73,1,compas,YES,70.0,True,6
gpt-5-mini,73,2,compas,YES,72.0,True,6
gpt-5-mini,73,3,compas,YES,70.0,True,6
gpt-5-mini,74,1,compas,YES,70.0,False,6
gpt-5-mini,74,2,compas,YES,65.0,False,6
gpt-5-mini,74,3,compas,YES,70.0,False,6
gpt-5-mini,75,1,compas,NO,85.0,False,6
gpt-5-mini,75,2,compas,NO,85.0,False,6
gpt-5-mini,75,3,compas,NO,85.0,False,6
gpt-5-mini,76,1,compas,YES,75.0,True,6
gpt-5-mini,76,2,compas,YES,70.0,True,6
gpt-5-mini,76,3,compas,YES,75.0,True,6
gpt-5-mini,77,1,compas,YES,70.0,False,6
gpt-5-mini,77,2,compas,YES,72.0,False,6
gpt-5-mini,77,3,compas,YES,70.0,False,6
gpt-5-mini,78,1,compas,YES,70.0,True,6
gpt-5-mini,78,2,compas,YES,75.0,True,6
gpt-5-mini,78,3,compas,YES,70.0,True,6
gpt-5-mini,79,1,compas,YES,70.0,True,6
gpt-5-mini,79,2,compas,NO,60.0,True,6
gpt-5-mini,79,3,compas,NO,65.0,True,6
gpt-5-mini,7,1,compas,NO,85.0,False,6
gpt-5-mini,7,2,compas,NO,85.0,False,6
gpt-5-mini,7,3,compas,NO,85.0,False,6
gpt-5-mini,80,1,compas,NO,70.0,False,6
gpt-5-mini,80,2,compas,NO,65.0,False,6
gpt-5-mini,80,3,compas,NO,75.0,False,6
gpt-5-mini,81,1,compas,NO,70.0,False,6
gpt-5-mini,81,2,compas,NO,70.0,False,6
gpt-5-mini,81,3,compas,NO,70.0,False,6
gpt-5-mini,82,1,compas,NO,70.0,False,6
gpt-5-mini,82,2,compas,NO,80.0,False,6
gpt-5-mini,82,3,compas,NO,65.0,False,6
gpt-5-mini,83,1,compas,YES,88.0,False,6
gpt-5-mini,83,2,compas,YES,80.0,False,6
gpt-5-mini,83,3,compas,YES,85.0,False,6
gpt-5-mini,84,1,compas,NO,80.0,True,6
gpt-5-mini,84,2,compas,NO,85.0,True,6
gpt-5-mini,84,3,compas,NO,85.0,True,6
gpt-5-mini,85,1,compas,NO,65.0,False,6
gpt-5-mini,85,2,compas,NO,65.0,False,6
gpt-5-mini,85,3,compas,NO,70.0,False,6
gpt-5-mini,86,1,compas,NO,90.0,False,6
gpt-5-mini,86,2,compas,NO,90.0,False,6
gpt-5-mini,86,3,compas,NO,85.0,False,6
gpt-5-mini,87,1,compas,NO,75.0,False,6
gpt-5-mini,87,2,compas,NO,75.0,False,6
gpt-5-mini,87,3,compas,NO,75.0,False,6
gpt-5-mini,88,1,compas,YES,70.0,True,6
gpt-5-mini,88,2,compas,YES,70.0,True,6
gpt-5-mini,88,3,compas,YES,70.0,True,6
gpt-5-mini,89,1,compas,NO,60.0,True,6
gpt-5-mini,89,2,compas,YES,65.0,True,6
gpt-5-mini,89,3,compas,NO,65.0,True,6
gpt-5-mini,8,1,compas,NO,70.0,False,6
gpt-5-mini,8,2,compas,NO,60.0,False,6
gpt-5-mini,8,3,compas,NO,65.0,False,6
gpt-5-mini,90,1,compas,YES,65.0,False,6
gpt-5-mini,90,2,compas,YES,70.0,False,6
gpt-5-mini,90,3,compas,NO,60.0,False,6
gpt-5-mini,91,1,compas,YES,70.0,True,6
gpt-5-mini,91,2,compas,YES,70.0,True,6
gpt-5-mini,91,3,compas,YES,75.0,True,6
gpt-5-mini,92,1,compas,NO,65.0,True,6
gpt-5-mini,92,2,compas,NO,70.0,True,6
gpt-5-mini,92,3,compas,NO,75.0,True,6
gpt-5-mini,93,1,compas,NO,65.0,True,6
gpt-5-mini,93,2,compas,NO,60.0,True,6
gpt-5-mini,93,3,compas,NO,60.0,True,6
gpt-5-mini,94,1,compas,YES,80.0,True,6
gpt-5-mini,94,2,compas,YES,80.0,True,6
gpt-5-mini,94,3,compas,YES,80.0,True,6
gpt-5-mini,95,1,compas,NO,70.0,True,6
gpt-5-mini,95,2,compas,NO,75.0,True,6
gpt-5-mini,95,3,compas,NO,80.0,True,6
gpt-5-mini,96,1,compas,NO,75.0,True,6
gpt-5-mini,96,2,compas,NO,75.0,True,6
gpt-5-mini,96,3,compas,NO,75.0,True,6
gpt-5-mini,97,1,compas,YES,70.0,True,6
gpt-5-mini,97,2,compas,YES,75.0,True,6
gpt-5-mini,97,3,compas,YES,75.0,True,6
gpt-5-mini,98,1,compas,YES,65.0,True,6
gpt-5-mini,98,2,compas,YES,72.0,True,6
gpt-5-mini,98,3,compas,YES,70.0,True,6
gpt-5-mini,99,1,compas,NO,65.0,True,6
gpt-5-mini,99,2,compas,NO,60.0,True,6
gpt-5-mini,99,3,compas,NO,75.0,True,6
gpt-5-mini,9,1,compas,NO,65.0,True,6
gpt-5-mini,9,2,compas,NO,65.0,True,6
gpt-5-mini,9,3,compas,NO,70.0,True,6
